Name	Date	Image	Pattern	Tags	Notes
Rockets, robots, and fish	12/21/2014	/assets/images/textiles/rocketsrobotsfish.jpg		Kids, Accessories	A fuzzy and fun daycare nap blanket.
Emperor shirt	12/26/2014	/assets/images/textiles/emperorshirt.jpg	Folkwear 104 Egyptian Shirt	Tops	Part of the Arcata Collection of college shirts for my (now ex-)brother-in-law at Humboldt State, I found this elaborate embroidered front piece and put it on a Folkwear 104 Egyptian Shirt. The base fabric was hand-dyed by his aunt.
Sam's lunch bag	1/4/2015	/assets/images/textiles/samlunchbag.jpg		Accessories	My oldest kid's first lunch bag for daycare. I loved that fabric. 
Toddler tie-dye	1/10/2015	/assets/images/textiles/toddlertiedye.jpg		Tops, Kids	A toddler shirt for my oldest kid with fabric hand-dyed by his great aunt.
Super toddler	1/11/2015	/assets/images/textiles/supertoddler.jpg		Tops, Kids	One of my favorite toddler shirts, superhero-themed as all toddlers are.
Geometric toddler sweatshirt	1/24/2015	/assets/images/textiles/geometrictoddler.jpg		Jackets, Kids	A favorite toddler sweatshirt.
Owl toddler sweatshirt	1/24/2015	/assets/images/textiles/owltoddler.jpg		Jackets, Kids	A cozy and cute favorite toddler sweatshirt.
Rainbow pants	1/25/2015	/assets/images/textiles/rainbowpants.jpg		Pants, Kids, Matching	Matching pants for myself and my toddler for SF Pride.
Blue Thai blouse	1/25/2015	/assets/images/textiles/bluethai.jpg	Folkwear 134 South Asian Tops & Wraps	Tops	I was excited to make this for myself with a batik fabric combined with a Russian-themed Japanese linen. Literally the first time I tried wearing it, there was a baby diaper blow-out on it before I even got out of the house. Once I washed it and tried again, I realized that I am in the apparent minority of people who just don't look good in a wrap top. 
The very hungry hippari	1/31/2015	/assets/images/textiles/caterpillarhippari.jpg	Folkwear 112 Japanese Field Clothing		I wore this Very Hungry Caterpillar hippari as a top layer for years when the kids were small.
Adventure bags	3/7/2015	/assets/images/textiles/adventurebags.jpg		Accessories, Kids	I befriended one of the preschool teachers and made 'adventure bags' for the kids in her group.
Matching Easter outfits	4/4/2015	/assets/images/textiles/matchingeaster.jpg		Pants, Tops, Kids, Matching	Matching Easter outfits for myself and my oldest kid.
Easter shirt	4/4/2015	/assets/images/textiles/eastershirt.jpg		Tops	An Easter button-down for my (now ex-)husband to match my outfit and the kid's.
Tie-dye pants	4/20/2015	/assets/images/textiles/tiedyepants.jpg	Folkwear 109 Little Folks	Pants, Kids	This was my favorite toddler pants pattern for years. This one was hand-dyed fabric by his great aunt.
Banana pants	4/20/2015	/assets/images/textiles/bananapants.jpg	Folkwear 109 Little Folks	Pants, Kids	The 'banana pants' were much loved and passed down to all three kids.
Penguin pants	4/21/2015	/assets/images/textiles/penguinpants.jpg	Folkwear 109 Little Folks	Pants, Kids	Penguins on red fleece, in my favorite toddler pants pattern.
Plaid pants	4/21/2015	/assets/images/textiles/plaidpants.jpg	Folkwear 109 Little Folks	Pants, Kids	Colorful plaid toddler pants in my favorite pattern.
Wacky animals	5/7/2015	/assets/images/textiles/wackyanimals.jpg		Tops	I think this may have started as an Ikea sheet? I made this shirt for my (now ex-)husband.
Toddler quilt	5/7/2015	/assets/images/textiles/toddlerquilt.jpg		Accessories	For a preschool fundraiser, I made a quilt with handprints of the kids. I think one of the teachers ended up winning it.
Heplet Jr	6/27/2015	/assets/images/textiles/hepletjr.jpg		Tops, Kids	I made a tiny version of the top I made for my (now ex-)husband with a dragon similar to the logo of Berkeley Free Clinic, for the toddler. He wore it to march in SF Pride.
2015 summer collection	6/29/2015	/assets/images/textiles/2015summer.jpg		Tops, Pants, Kids	Toddler tank tops and shorts for summer 2015.
Superhero vests	7/27/2015	/assets/images/textiles/superherovests.jpg		Accessories, Kids	Colorful toddler vests with capes for the kids' preschool.
Ottoman fetus top, 18 weeks	7/28/2015	/assets/images/textiles/ottomanfetus18.jpg		Tops	An Ottoman Turkish fetus print on a knit top I sewed for myself wen pregnant with the second kid.
Soccer fan outfit	8/4/2015	/assets/images/textiles/soccerfan.jpg		Tops, Pants, Kids	An outfit for a friend's kid who was obsessed with soccer.
Puppy cushion	8/8/2015	/assets/images/textiles/puppycushion.jpg		Accessories	I needed to sit on a cushion when I was pregnant with the second kid. For whatever reason, the first kid (a toddler at the time) decided the cushion was a 'puppy', so I tried to make him his own 'puppy' that he'd use instead.
Bus jacket	8/26/2015	/assets/images/textiles/busjacket.jpg		Jackets, Kids	I was excited to make a purple bus linen jacket for the kid but something went terribly wrong (or maybe the pattern was a disaster... more likely it was me) and the sleeves were super tiny and unwearable.
Toddler hats	8/30/2015	/assets/images/textiles/toddlerhats.jpg		Accessories, Kids	A set of colorful hats for the kids' preschool.
Bus hat	9/5/2015	/assets/images/textiles/bushat.jpg		Accessories, Kids	A toddler hat with purple bus linen and scraps from the oldest kid's first lunch hat.
